dateAchat;numSIREN;nomFleur;nbrFleurs;prixAchatUnitaire
04/12/2020;269481735;Jasmin;11;0.72
04/12/2020;651982473;Crocus;5;0.49
04/12/2020;672849135;Lys;5;1.2
04/12/2020;269481735;Paquerette;4;0.53
04/12/2020;503827451;Chrysantheme;5;0.75
04/12/2020;842619375;Oeillet;2;0.45
04/12/2020;482519367;Hortensia;1;1.29
04/12/2020;503827451;Violette;1;0.26
04/12/2020;269481735;Edelweiss;1;1.82
09/12/2020;503827451;Mimosa;14;0.62
09/12/2020;672849135;Crocus;1;0.5
09/12/2020;269481735;Edelweiss;1;3.04
09/12/2020;672849135;Coquelicot;5;0.2
09/12/2020;346198275;Chrysantheme;7;0.16
09/12/2020;672849135;Narcisse;2;1.01
09/12/2020;503827451;Dahlia;12;1.19
09/12/2020;503827451;Violette;1;0.13
09/12/2020;672849135;Oeillet;1;0.75
09/12/2020;842619375;Glaieul;1;0.24
15/12/2020;651982473;Tulipe;15;0.41
15/12/2020;842619375;Dahlia;8;1.48
15/12/2020;482519367;Camelia;4;2.94
15/12/2020;269481735;Mimosa;5;1.11
15/12/2020;503827451;Crocus;1;0.12
11/12/2020;482519367;Tiare;14;2.26
11/12/2020;346198275;Edelweiss;1;2.29
14/12/2020;482519367;Narcisse;12;1.25
14/12/2020;672849135;Tournesol;4;0.62
14/12/2020;842619375;Violette;9;0.1
14/12/2020;482519367;Rose;1;0.74
14/12/2020;842619375;Jasmin;3;0.31
14/12/2020;269481735;Crocus;3;0.24
14/12/2020;275381649;Anemone;1;1.4
14/12/2020;346198275;Oeillet;13;0.7
14/12/2020;842619375;Mimosa;4;0.16
22/12/2020;275381649;Narcisse;4;1.15
22/12/2020;672849135;Anemone;5;1.64
22/12/2020;503827451;Rose;2;0.87
22/12/2020;651982473;Lys;1;1.01
22/12/2020;672849135;Coquelicot;6;0.13
17/12/2020;651982473;Mimosa;11;1.45
17/12/2020;346198275;Oeillet;1;0.55
17/12/2020;482519367;Edelweiss;19;1.86
17/12/2020;672849135;Camelia;1;1.42
17/12/2020;269481735;Narcisse;8;0.46
17/12/2020;503827451;Dahlia;1;0.3
17/12/2020;482519367;Coquelicot;18;0.36
17/12/2020;651982473;Violette;1;0.37
28/12/2020;275381649;Mimosa;4;0.95
28/12/2020;482519367;Rose;16;0.12
28/12/2020;346198275;Pivoine;2;1.11
28/12/2020;346198275;Glaieul;1;0.58
28/12/2020;269481735;Lys;16;1.44
28/12/2020;842619375;Jasmin;1;0.37
28/12/2020;482519367;Camelia;2;1.39
28/12/2020;346198275;Tulipe;1;0.28
28/12/2020;503827451;Hortensia;2;0.72
28/12/2020;651982473;Edelweiss;14;3.46
24/12/2020;482519367;Rose;17;0.8
24/12/2020;275381649;Tournesol;2;0.21
24/12/2020;275381649;Tulipe;12;0.53
24/12/2020;842619375;Violette;1;0.13
24/12/2020;269481735;Chrysantheme;1;0.86
24/12/2020;672849135;Anemone;8;1.03
24/12/2020;672849135;Mimosa;2;1.85
24/12/2020;842619375;Coquelicot;2;0.39
05/01/2021;275381649;Dahlia;6;0.31
05/01/2021;482519367;Rose;11;0.67
05/01/2021;842619375;Camelia;1;0.46
05/01/2021;275381649;Chrysantheme;1;0.87
05/01/2021;346198275;Pivoine;3;0.15
05/01/2021;275381649;Anemone;1;1.33
05/01/2021;842619375;Tiare;1;2.05
05/01/2021;346198275;Coquelicot;1;0.11
05/01/2021;269481735;Crocus;3;0.34
05/01/2021;842619375;Lys;10;0.16
29/12/2020;503827451;Oeillet;1;0.54
29/12/2020;275381649;Hortensia;1;2.18
29/12/2020;346198275;Tiare;12;0.79
29/12/2020;503827451;Jasmin;15;1.09
29/12/2020;269481735;Coquelicot;16;0.22
29/12/2020;275381649;Camelia;10;2.29
29/12/2020;672849135;Glaieul;1;0.15
29/12/2020;672849135;Lys;14;0.85
29/12/2020;275381649;Dahlia;2;0.86
29/12/2020;842619375;Tulipe;14;0.55
29/12/2020;482519367;Mimosa;3;0.48
29/12/2020;503827451;Rose;3;0.33
30/12/2020;651982473;Coquelicot;8;0.24
30/12/2020;482519367;Chrysantheme;2;0.43
30/12/2020;482519367;Mimosa;16;2.23
30/12/2020;672849135;Lys;1;0.2
30/12/2020;672849135;Tiare;4;1.59
30/12/2020;842619375;Crocus;3;0.38
30/12/2020;269481735;Pivoine;6;0.42
30/12/2020;275381649;Jasmin;3;0.47
30/12/2020;269481735;Anemone;1;0.34
30/12/2020;269481735;Edelweiss;13;0.26
30/12/2020;275381649;Narcisse;2;0.54
30/12/2020;269481735;Camelia;4;0.95
30/12/2020;275381649;Rose;13;0.59
30/12/2020;346198275;Dahlia;2;0.6
30/12/2020;346198275;Paquerette;2;0.61
30/12/2020;842619375;Glaieul;10;0.44
21/12/2020;269481735;Camelia;2;0.6
21/12/2020;503827451;Coquelicot;6;0.13
21/12/2020;842619375;Oeillet;14;0.66
21/12/2020;275381649;Paquerette;3;0.36
21/12/2020;503827451;Tiare;15;0.57
21/12/2020;842619375;Tulipe;5;0.62
21/12/2020;503827451;Hortensia;21;0.13
21/12/2020;672849135;Jasmin;16;1.13
21/12/2020;346198275;Rose;11;0.39
21/12/2020;651982473;Dahlia;5;1.13
21/12/2020;346198275;Pivoine;1;0.87
21/12/2020;346198275;Mimosa;1;0.11
21/12/2020;651982473;Lys;4;0.59
21/12/2020;275381649;Tournesol;7;0.48
21/12/2020;269481735;Edelweiss;2;2.56
07/01/2021;275381649;Jasmin;9;1.61
07/01/2021;269481735;Violette;3;0.21
07/01/2021;503827451;Crocus;5;0.42
07/01/2021;842619375;Coquelicot;1;0.36
31/12/2020;269481735;Paquerette;11;0.49
31/12/2020;672849135;Coquelicot;15;0.4
31/12/2020;672849135;Jasmin;8;1.01
31/12/2020;346198275;Hortensia;4;1.71
31/12/2020;842619375;Tournesol;11;0.79
31/12/2020;346198275;Tulipe;14;0.31
31/12/2020;275381649;Anemone;3;0.54
31/12/2020;672849135;Violette;1;0.33
31/12/2020;842619375;Lys;2;1.09
31/12/2020;346198275;Dahlia;19;0.62
31/12/2020;346198275;Crocus;2;0.16
31/12/2020;651982473;Narcisse;13;0.62
31/12/2020;672849135;Mimosa;10;2.16
31/12/2020;275381649;Chrysantheme;1;0.25
31/12/2020;503827451;Camelia;3;1.81
31/12/2020;503827451;Pivoine;8;2.14
06/01/2021;651982473;Pivoine;9;0.83
06/01/2021;269481735;Anemone;9;0.32
06/01/2021;482519367;Narcisse;1;0.96
06/01/2021;346198275;Tulipe;5;0.45
06/01/2021;651982473;Violette;2;0.25
06/01/2021;651982473;Camelia;2;0.21
06/01/2021;275381649;Rose;12;0.43
06/01/2021;842619375;Tournesol;6;0.78
06/01/2021;482519367;Lys;3;1.38
06/01/2021;269481735;Paquerette;7;0.55
06/01/2021;842619375;Hortensia;9;1.46
06/01/2021;269481735;Dahlia;2;1.11
06/01/2021;275381649;Edelweiss;3;1.81
06/01/2021;842619375;Mimosa;8;1.62
06/01/2021;503827451;Oeillet;1;0.51
08/01/2021;503827451;Tiare;4;2.64
08/01/2021;482519367;Mimosa;1;1.13
08/01/2021;482519367;Pivoine;1;0.27
08/01/2021;651982473;Rose;1;0.14
08/01/2021;672849135;Glaieul;5;0.7
08/01/2021;651982473;Violette;1;0.26
08/01/2021;503827451;Tulipe;7;0.3
08/01/2021;503827451;Dahlia;9;1.1
08/01/2021;503827451;Crocus;9;0.21
08/01/2021;842619375;Lys;5;0.72
04/01/2021;503827451;Pivoine;2;0.11
04/01/2021;651982473;Glaieul;3;0.75
04/01/2021;275381649;Rose;1;0.89
04/01/2021;503827451;Mimosa;5;1.65
13/01/2021;482519367;Crocus;20;0.3
13/01/2021;275381649;Tulipe;3;0.15
13/01/2021;482519367;Dahlia;7;0.25
13/01/2021;482519367;Jasmin;11;0.13
13/01/2021;503827451;Edelweiss;9;2.91
13/01/2021;672849135;Anemone;10;1.04
13/01/2021;503827451;Chrysantheme;9;0.46
13/01/2021;269481735;Hortensia;3;3.49
13/01/2021;275381649;Tiare;15;0.26
