numCommande;numBouquet;nbrBouquets;nomFleur;nbrFleurs
1;1;1;Jasmin;10
;;;Crocus;4
1;2;2;Lys;5
;;;Paquerette;4
;;;Chrysantheme;5
;;;Crocus;1
;;;Jasmin;1
1;3;2;Oeillet;2
;;;Hortensia;1
;;;Violette;1
;;;Edelweiss;1
2;1;1;Mimosa;14
2;2;4;Crocus;1
;;;Edelweiss;1
;;;Coquelicot;1
;;;Chrysantheme;7
;;;Narcisse;2
2;3;2;Coquelicot;4
;;;Dahlia;12
;;;Violette;1
;;;Oeillet;1
;;;Glaieul;1
3;1;1;Tulipe;15
3;2;2;Dahlia;8
;;;Camelia;4
;;;Mimosa;5
;;;Crocus;1
4;1;1;Tiare;14
;;;Edelweiss;1
5;1;1;Narcisse;12
;;;Tournesol;4
5;2;1;Violette;9
;;;Rose;1
;;;Jasmin;3
;;;Crocus;2
;;;Anemone;1
5;3;2;Oeillet;13
;;;Mimosa;4
;;;Crocus;1
6;1;1;Narcisse;4
;;;Anemone;1
;;;Rose;2
;;;Lys;1
6;2;3;Coquelicot;6
;;;Anemone;4
7;1;1;Mimosa;11
;;;Oeillet;1
7;2;2;Edelweiss;15
;;;Camelia;1
7;3;1;Narcisse;8
;;;Edelweiss;4
;;;Dahlia;1
8;1;1;Coquelicot;18
;;;Violette;1
9;1;1;Mimosa;4
;;;Rose;6
;;;Pivoine;2
;;;Glaieul;1
9;2;1;Lys;7
;;;Jasmin;1
;;;Camelia;1
10;1;1;Rose;17
;;;Tournesol;2
10;2;5;Tulipe;12
;;;Violette;1
;;;Chrysantheme;1
11;1;1;Dahlia;4
;;;Rose;4
;;;Camelia;1
;;;Chrysantheme;1
11;2;1;Pivoine;3
;;;Anemone;1
;;;Tiare;1
11;3;1;Coquelicot;1
;;;Crocus;3
;;;Dahlia;2
;;;Lys;10
11;4;2;Rose;7
12;1;1;Lys;9
;;;Tulipe;1
12;2;1;Hortensia;2
;;;Edelweiss;14
;;;Camelia;1
12;3;2;Rose;10
13;1;1;Anemone;8
;;;Mimosa;2
;;;Coquelicot;2
14;1;1;Oeillet;1
;;;Hortensia;1
;;;Tiare;2
;;;Jasmin;1
14;2;4;Coquelicot;15
;;;Camelia;4
;;;Glaieul;1
15;1;1;Lys;13
;;;Camelia;3
;;;Dahlia;1
;;;Coquelicot;1
15;2;1;Tulipe;3
;;;Mimosa;3
15;3;1;Dahlia;1
;;;Camelia;3
;;;Tiare;10
15;4;1;Jasmin;14
;;;Lys;1
15;5;2;Tulipe;11
;;;Rose;3
16;1;1;Coquelicot;4
;;;Chrysantheme;2
;;;Mimosa;1
;;;Lys;1
16;2;1;Mimosa;10
;;;Tiare;3
;;;Crocus;3
16;3;1;Pivoine;5
;;;Mimosa;5
;;;Jasmin;3
;;;Coquelicot;4
;;;Anemone;1
16;4;1;Edelweiss;10
;;;Narcisse;2
;;;Camelia;4
17;1;1;Rose;13
;;;Edelweiss;3
;;;Dahlia;1
;;;Tiare;1
;;;Paquerette;2
17;2;2;Glaieul;10
;;;Dahlia;1
;;;Pivoine;1
18;1;1;Camelia;1
;;;Coquelicot;6
;;;Oeillet;6
;;;Paquerette;3
;;;Tiare;2
;;;Tulipe;1
18;2;1;Hortensia;15
;;;Jasmin;4
18;3;2;Rose;10
;;;Tiare;2
;;;Camelia;1
;;;Dahlia;2
19;1;1;Jasmin;8
19;2;1;Violette;3
;;;Crocus;5
;;;Jasmin;1
;;;Coquelicot;1
20;1;1;Tiare;11
;;;Oeillet;6
;;;Pivoine;1
20;2;1;Jasmin;5
;;;Hortensia;4
