codePostal;tarifLivraison
69001;10
69002;10
69003;10
69004;10
69005;10
69006;10
69007;10
69008;10
69009;10
69500;16
69300;10
69410;10
69260;14
69680;22
69660;14
69960;26
69290;18
69570;16
69150;22
69130;10
69320;22
69270;16
69340;14
69730;30
69700;42
69520;36
69540;22
69760;18
69380;26
69280;20
69330;28
69780;32
69350;10
69250;26
69310;14
69140;18
69450;12
69370;12
69110;10
69190;14
69230;18
69650;28
69800;24
69580;16
69360;30
69160;12
69890;22
69120;14
69200;18
69390;28
69100;6
